Date,SR2,SR1,T1,T3,T2,GH3,GH2,GH1,R1,S1,S2,Lat,Long,ID,Target
2001-11-30 00:00:00,0.487064432,11.43027414,0.51401002,0.038043478,0.539950914,0.129368272,0.482395794,11.33539227,0.027600587,0.27746613,0.007264738,29.99,-89.66,1,0
2001-12-01 00:00:00,0.482927855,11.08343266,0.515865652,0.038043478,0.53626943,0.074322946,0.501798101,11.36643596,0.027600587,0.284730868,0.006093006,29.99,-89.66,1,0
2001-12-02 00:00:00,0.474794924,10.84743743,0.516051215,0.065217391,0.532178893,0.10994051,0.409960516,11.41041452,0.03692511,0.301838155,0.004686928,29.99,-89.66,1,0
2001-12-03 00:00:00,0.469746898,10.37902265,0.515865652,0.070652174,0.527679302,0.136923513,0.409960516,11.45180611,0.058930984,0.336052728,0.005624313,29.99,-89.66,1,0
2001-12-04 00:00:00,0.456425717,10.28963051,0.51456671,0.065217391,0.523588765,0.132606232,0.378916825,11.39359919,0.045503671,0.34308312,0.021091175,29.99,-89.66,1,0
2001-12-05 00:00:00,0.454532707,10.17878427,0.512339952,0.086956522,0.514998636,0.146637394,0.376329851,11.35350109,0.045503671,0.334880996,0.023434639,29.99,-89.66,1,0
2001-12-06 00:00:00,0.446049218,9.980929678,0.507700872,0.048913043,0.505181347,0.128288952,0.390558209,11.27847884,0.045503671,0.325272794,0.023434639,29.99,-89.66,1,0
2001-12-07 00:00:00,0.437776064,9.89988081,0.504546298,0.070652174,0.499045541,0.11317847,0.411254003,11.23320679,0.045503671,0.32878799,0.009373856,29.99,-89.66,1,0
2001-12-08 00:00:00,0.417513847,9.873659118,0.502876229,0.114130435,0.496182165,0.105623229,0.391851696,11.21121751,0.034314244,0.329256683,0.006093006,29.99,-89.66,1,0
2001-12-09 00:00:00,0.418635631,9.740166865,0.500835034,0.130434783,0.495364058,0.079719547,0.38538426,11.20345658,0,0.330194068,0.005624313,29.99,-89.66,1,0
2001-12-10 00:00:00,0.406155788,9.638855781,0.498422713,0.125,0.495773112,0.120733711,0.389264722,11.19440217,0,0.330897107,0.006561699,29.99,-89.66,1,0
2001-12-11 00:00:00,0.38918881,9.466030989,0.497309334,0.114130435,0.499045541,0.086195467,0.373742876,11.18664125,0,0.33394361,0.006796045,29.99,-89.66,1,0
2001-12-12 00:00:00,0.37635841,9.251489869,0.497494897,0.130434783,0.505181347,0.028991501,0.375036363,11.16723894,0,0.338396192,0.006561699,29.99,-89.66,1,0
2001-12-13 00:00:00,0.35027694,8.970202622,0.498051587,0.108695652,0.517043905,0.037626062,0.384090773,11.13490177,0,0.344723544,0.004686928,29.99,-89.66,1,0
2001-12-14 00:00:00,0.352380285,8.817640048,0.497866023,0.086956522,0.52522498,0.118575071,0.415134464,11.06505346,0,0.35151959,0.004686928,29.99,-89.66,1,0
2001-12-15 00:00:00,0.350697609,8.408820024,0.496567081,0.048913043,0.528497409,0.117495751,0.409960516,10.9809768,0,0.355972171,0.008670817,29.99,-89.66,1,0
2001-12-16 00:00:00,0.341793452,8.108462455,0.494897012,0.048913043,0.527679302,0.098067989,0.389264722,10.96286798,0,0.358784328,0.006093006,29.99,-89.66,1,0
2001-12-17 00:00:00,0.338428101,7.68772348,0.493226944,0.059782609,0.52522498,0.149875354,0.415134464,10.97450936,0.059303965,0.355972171,0.006796045,29.99,-89.66,1,0
2001-12-18 00:00:00,0.334782304,7.697258641,0.491371312,0.043478261,0.521134442,0.149875354,0.428069335,10.99520516,0.059676946,0.351753936,0.008202124,29.99,-89.66,1,0
